A01,7.39,8.99
A02,2.93,36.85
A03,11.52,3.87
A04,39.46,14.28
A05,17.58,-19.20
A06,355.87,5.33
A07,346.34,9.58
A08,125.40,7.00
A09,120.00,14.58
A10,319.50,-9.40
A11,311.55,-1.45
A12,100.61,14.08
A13,98.35,7.89
AAA,76.92,43.25
AAE,38.77,9.03
ABG,72.87,18.62
ABK,18.82,68.35
ADL,138.65,-34.67
AIA,295.74,-65.25
ALE,297.50,82.50
ALT,22.96,69.86
AMA,129.33,28.17
AMD,61.21,69.60
AMK,322.37,65.60
AMS,77.57,-37.80
AMU,210.13,61.24
ANC,282.85,-11.77
AND,16.03,69.30
ANT,289.76,-23.39
API,188.22,-13.80
APL,283.12,39.17
AQU,13.32,42.38
ARC,214.44,68.12
ARK,40.50,64.60
ARS,58.57,56.43
ASA,170.70,-14.28
ASB,142.17,43.46
ASC,345.62,-7.95
ASH,58.10,37.95
ASP,133.88,-23.77
ASW,32.51,23.50
ATU,306.43,67.93
B01,296.52,-64.82
B02,294.00,-66.03
B03,291.88,-67.57
B04,41.08,-68.58
B05,41.32,-69.29
B06,39.40,-69.67
B07,44.28,-70.70
B08,159.03,-72.77
B09,42.99,-74.01
B10,39.71,-77.32
B11,336.58,-77.51
B12,335.88,-79.08
B13,77.00,-80.00
B14,337.74,-80.89
B15,2.97,-81.49
B16,347.06,-82.78
B17,347.76,-82.90
B18,336.14,-84.35
B19,2.06,-85.36
B20,95.98,-85.36
B21,28.41,-87.00
B22,68.17,-86.51
B23,316.13,-88.03
B24,77.77,-71.67
B27,3.00,-81.00
BBG,14.21,78.06
BCL,105.71,9.30
BDV,14.02,49.07
BEL,20.80,51.83
BET,208.45,66.90
BFE,11.67,55.62
BFO,8.33,48.33
BGY,35.09,31.72
BIK,136.05,-1.08
BJI,116.18,40.06
BJN,19.20,74.50
BKL,102.31,-3.86
BLC,263.99,64.32
BMT,116.20,40.30
BNG,18.57,4.33
BOR,38.33,58.03
BOU,254.76,40.14
BOX,38.97,58.03
BRD,260.03,49.87
BRN,132.41,47.80
BRW,203.38,71.32
BRZ,24.75,56.21
BSL,270.36,30.35
BSV,139.21,-25.54
C01,276.10,42.42
C02,265.79,57.71
C03,248.89,58.77
C04,251.74,50.06
C05,264.54,52.03
C06,247.03,53.35
C07,233.31,65.26
C08,264.92,45.87
C09,264.71,54.93
C10,245.79,47.66
C11,263.64,48.03
C12,256.20,49.69
C13,239.97,51.88
CAN,149.36,-35.31
CBB,254.97,69.12
CBI,142.30,27.15
CCS,104.28,77.72
CDC,283.40,64.20
CDO,124.63,8.40
CDP,256.30,31.00
CEB,123.91,10.36
CER,289.40,-33.45
CGO,212.14,64.87
CHC,276.00,64.35
CHD,147.89,70.62
CKA,73.60,68.50
CKI,96.84,-12.19
CKT,145.25,-15.48
CLF,2.27,48.02
CLK,285.00,44.70
CMD,150.67,-34.06
CMO,212.14,64.87
CNB,150.70,-34.10
CNH,124.86,44.08
CNL,248.75,65.75
CPS,180.55,68.88
CPY,235.30,70.20
CRK,357.36,57.09
CRP,275.09,10.44
CST,11.65,46.05
CSY,110.53,-66.28
CTA,146.30,-20.10
CUL,149.58,-30.28
CWE,190.17,66.17
CY0,291.40,70.50
CYG,126.85,36.37
CZT,51.87,-46.43
DAL,151.20,-27.18
DAW,220.89,64.05
DED,211.21,70.36
DES,39.12,-6.46
DIK,80.70,73.53
DLR,259.08,29.49
DLT,108.48,11.94
DMC,235.83,-75.25
DMH,341.37,76.77
DNB,339.78,74.30
DOB,9.11,62.07
DON,12.50,66.11
DOU,4.60,50.10
DRB,30.56,-29.48
DRV,140.01,-66.67
DRW,130.90,-12.40
DSO,278.60,36.25
DUR,14.28,41.39
DVS,77.97,-68.58
E01,23.86,41.35
E02,21.97,39.45
E03,24.10,38.63
E04,23.93,38.08
E05,22.95,36.72
EAG,218.84,64.78
EBR,0.49,40.82
EDM,246.70,53.30
EKP,265.95,61.11
ELT,34.95,29.67
ENP,289.10,-52.13
ESA,141.36,39.24
ESC,301.08,-62.18
ESK,356.80,55.32
EUA,274.10,80.00
EUS,321.57,-3.88
EWA,202.00,21.32
EYR,172.40,-43.40
FAR,352.98,62.05
FCC,265.91,58.76
FHB,310.32,62.00
FIT,279.05,28.07
FMC,248.79,56.66
FRD,282.63,38.20
FRN,240.28,37.09
FSJ,238.15,56.25
FSP,238.77,61.76
FTN,237.20,58.90
FUR,11.28,48.17
FVE,243.98,58.37
FYM,35.50,29.18
FYU,214.78,66.56
G01,306.28,-29.72
GAK,214.87,62.39
GAN,73.15,0.69
GCK,20.77,44.63
GDH,306.47,69.25
GHB,308.27,64.17
GHC,264.15,68.63
GIM,265.36,56.38
GLN,262.88,49.65
GML,356.32,57.16
GNA,116.00,-31.80
GNG,115.71,-31.36
GRK,29.38,60.27
GSI,97.34,1.18
GTF,288.05,43.62
GUA,144.87,13.59
GUI,343.57,28.32
GZH,113.34,23.09
HAD,355.52,50.98
HAN,26.60,62.25
HBK,27.71,-25.88
HER,19.23,-34.43
HIS,58.05,80.62
HLL,339.44,63.77
HLM,210.13,61.24
HLN,121.55,23.90
HLP,18.82,54.61
HOB,147.35,-42.88
HOM,209.53,59.70
HON,202.00,21.32
HOP,25.01,76.51
HOR,15.60,77.00
HOV,353.20,61.50
HRB,18.19,47.86
HRN,15.60,77.00
HRP,275.30,49.20
